themename,themepercent,themenamecodename,code,snname,sncode
Export development and competitiveness,25,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,25,Rural services and infrastructure,78,"Public administration- Agriculture, fishing and forestry",BL
Export development and competitiveness,25,Rural policies and institutions,77,Rural and Inter-Urban Roads and Highways,TI
Export development and competitiveness,25,Rural policies and institutions,77,Agricultural extension and research,AB
Export development and competitiveness,25,Rural policies and institutions,77,Crops,AH
Export development and competitiveness,25,Rural policies and institutions,77,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,25,Rural policies and institutions,77,"Public administration- Agriculture, fishing and forestry",BL
Water resource management,10,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Water resource management,10,Water resource management,85,Urban Transport,TC
Social safety nets,100,Social safety nets,54,Other social services,JB
Social safety nets,100,Social safety nets,54,Public administration- Other social services,BS
Other social protection and risk management,15,Other social protection and risk management,56,Public administration- Financial Sector,BO
Other social protection and risk management,15,Other social protection and risk management,56,General public administration sector,BZ
Other social protection and risk management,15,Other social protection and risk management,56,General energy sector,LZ
Other social protection and risk management,15,Other social protection and risk management,56,Other Mining and Extractive Industries,LS
Other social protection and risk management,15,Other social protection and risk management,56,Compulsory pension and unemployment insurance,BE
Other social protection and risk management,15,Macroeconomic management,23,Public administration- Financial Sector,BO
Other social protection and risk management,15,Macroeconomic management,23,General public administration sector,BZ
Other social protection and risk management,15,Macroeconomic management,23,General energy sector,LZ
Other social protection and risk management,15,Macroeconomic management,23,Other Mining and Extractive Industries,LS
Other social protection and risk management,15,Macroeconomic management,23,Compulsory pension and unemployment insurance,BE
Other social protection and risk management,15,Administrative and civil service reform,25,Public administration- Financial Sector,BO
Other social protection and risk management,15,Administrative and civil service reform,25,General public administration sector,BZ
Other social protection and risk management,15,Administrative and civil service reform,25,General energy sector,LZ
Other social protection and risk management,15,Administrative and civil service reform,25,Other Mining and Extractive Industries,LS
Other social protection and risk management,15,Administrative and civil service reform,25,Compulsory pension and unemployment insurance,BE
Other social protection and risk management,15,Other environment and natural resources management,86,Public administration- Financial Sector,BO
Other social protection and risk management,15,Other environment and natural resources management,86,General public administration sector,BZ
Other social protection and risk management,15,Other environment and natural resources management,86,General energy sector,LZ
Other social protection and risk management,15,Other environment and natural resources management,86,Other Mining and Extractive Industries,LS
Other social protection and risk management,15,Other environment and natural resources management,86,Compulsory pension and unemployment insurance,BE
